TESTO DELLA DOMANDA,REPERTORIO DELLA DOMANDA,STRALCIO,DENOMINAZIONE SENIOR,DENOMINAZIONE JUNIOR
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo la persona è dentro in prigione per volontà di dio che sto aspettando il suo giudizio,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,questo sbaglio è stato fatto quando ero ubriaco ed è il primo i l'ultimo sbaglio che faccio,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"descrivo una persona lo stesso reato, anche a me che è avaro",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e dio non ama gli avari e che dio perdona ed dio è misericordioso; amen,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"descrivo una persona lo stesso reato anche a me, che mi dispiace per lui",OPINIONE,OPINIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,lo descrivo come una persona che ha commesso.,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,Non deve ripeterlo,PRESCRIZIONE,PRESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e ha bisogno di aiuto,sancire,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo la persona lo stesso reato anche a me che ha scelto una strada sbagliata,sancire,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"ci sono molte persone che hanno commesso lo stesso reato e sono usciti, io non niente mi hanno fatto entrare in prigione perché l'avvocato mi ha consigliato il patteggiamento dicendo che così potevo uscire invece mi hanno",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,la stessa pena,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,reputo queste persone esseri umani,DESCRIZIONE,DESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e che abbiano commesso reati per la propria sopravvivenza e di poter essere in qualche modo autonomi,GIUSTIFICAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e che vorrebbero riscattarsi da una realtà remota alquanto difficile,DICHIARAZIONE DI INTENTI,OPINIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,perché avrà lo stesso bisogno come me,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"è una persona bisogno,",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,magari senza lavoro e costretto,POSSIBILITÀ,POSSIBILITÀ
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"secondo il parere, la diamo una chance per avere una vita tranquilla casomai non deve un altro errore",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,niente,NON RISPOSTA,NON RISPOSTA
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,io personalmente ho preso la strada sbagliata purtroppo molto e dopo tutta questa esperienza mi auguro che nessuno fa lo stesso errore che ho fatto. È un tunnel che non finisce mai,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ignorante e scemo,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sfortunato,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ci sono necessità che lo spingono a fare questo reato,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,stupido come me,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,che è bisognoso d'aiuto,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona un reato lo stesso al mio come reato di stupefacente. Penso che chi fa questi reati sono persone costrette e la società non è riuscita ad accoglierli e si sono trovate persone disperate senza lavoro e senza l'aiuto di nessuno,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,gli auguro che non sbagli più come ho,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,la persona che ha commesso lo stesso reato che è stato imputato a me è un innocente,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"pazienza, essere utile ed amare il prossimo",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,hanno ragione chi sbaglia paga,sancire,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sfortunato,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,innanzi tutto io non sarei in grado di giudicare qualcuno che ha commesso stesso reato bisogna vedere i motivi per cui l'ha fatto come abbiamo tutti poi questo compete solo alle autorità descriverla:,NON RISPOSTA,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"potrei dire che è una persona sbagliato, come me",OPINIONE,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"povero, l'hanno beccato",VALUTAZIONE,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non sono un'altra perché ognuno di noi ha una motivazione e un fine per ogni errore,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,in primo luogo non sono un'altra anche perché ciascuno di noi ha motivazioni diverse per il proprio errore,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"non posso descrivere, ma tutti commettiamo errori nella nostra vita",sancire,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,tutti facciamo errori e non lo giudico perché tutti sbagliamo,sancire,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,come un fuori legge,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"siamo esseri umano che commettiamo piccoli errori, siamo condannati perché non abbiamo ne reputazione ne soldi per coprire tutto",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,dipende dalla situazione nella quale ti trovi,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,nessuno lo sa perché tutti abbiamo altri pensieri,NON RISPOSTA,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"dipende dal tipo di reato e capisco su questo argomento: le persone commettono errori e allo stesso tempo rubano ai ricchi perché i ricchi rubano ai poveri e la giustizia esiste sia per i ricchi che per i poveri, non come berlusconi",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"lo considero per quello che è e non lo critico, perché può darsi abbia avuto sfortuna",VALUTAZIONE,POSSIBILITÀ
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"che mi dispiace è molto dura nel mio caso e troppo alta la condanna, peggio ancora se si ha una famiglia da mantenere che si trova da sola e senza aiuto alcuno",VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"se è come nel mio caso, un'altra vittima",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"io stessa non lo so, mi faccio autocritica tutti i giorni per aver commesso questo reato, ma l'ho fatto per bisgogno",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non giudico mai le persone,NON RISPOSTA,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"chi sbaglia paga, ma giusto: per il mio caso, sono per un vecchio reato di quattro anni fa e dopo questo reato ho avuto una vita onesta e certo che non mi piacerebbe che un0altra mi ruba la mia macchina",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,se l'imputato l'ha fatto come un primo reato può essere uno sbaglio e purtroppo tutti possiamo sbagliare se l'ha fatto parecchie volte merita la giustizia,RIDIMENSIONAMENTO,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,per me questo reato che ho commesso a mio paese non hanno il diritto di arrestarlo perché ho tutte le documentazioni e le prove che io non centro niente anche il fratello della vittima mi ha fatto una dichiarazione al consolato tunisia che io sono innocente ma ormai sono definitivo il mio avvocato non può fare niente,COMMENTO,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,faccio autocritica; non giudico gli altri;,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,comunque è dalla parte sbagliata,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"è una persona soffrei di tanti problemi, inoltre non è completa mentalmente",sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"il reato che mi è stato imputato, descrivo l'altra persona che è povero",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,perché non nessun reato ma sono stato condannato perché ero vicino al luogo dell'accaduto,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"non so cosa dire perché il detenuto è come l'uccello in gabbia, non sa niente, sa solo cantare",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non so scusate per la domanda perché sono detenuto come un uccello in gabbia,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"non so in questa domanda sono detenuto, sono come un uccello in una gabbia, non batte le ali e canta da solo",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,il reato per il quale sono detenuta descrivo l'altra persona povera perché non questo reato e sono stata condannata,VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,nella mia salute sto bene,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"ritengo giusto che, se qualcuno ha fornito nome, cognome e data di nascita fasulli debba essere imprigionato perché non è bello che qualcuno dia i nomi falsi",VALUTAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,secondo me non è giusto che una persona da falsità di cognomi paghi per una persona fatto niente,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,direi di non mai,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una ladra,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"un adulto che ha fatto per la ragazza per cui ha falsificato documenti, ha avuto una denuncia false",DESCRIZIONE,DESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"una persona troppo brava e un'altra gli è andata contro e non la capisce e quindi per forza questa persona deve sfogarsi, va fuori di testa e può ucciderlo.",GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,Una persona perso la pazienza perché non è capita.,CAUSA,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"una persona rubato un portafoglio, ha trovato un po' di soldi, documenti",DESCRIZIONE,DESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,che prima di commettere un reato deve pensare alle conseguenze,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ha fatto male.,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,È una persona deve cambiare attegiamento quando esce,PRESCRIZIONE,PRESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"per quanto riguarda me è una persona merita (tutto) e uno che non ha coscienza pulita forse, per fare un reato del genere non ci saranno i motivi",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,per niente al mondo con passato può rieducare o odiare quello che ha commesso.,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"io non, ma mi hanno ingiustamente perché sono albanese! Io nella mia ho sempre lavorato onestamente, ma qui in italia non basta perché ci sono i pregiudizi per noi albanesi.",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"Io le persone che hanno reati come questo che mi hanno li giudico male, però non abbandonare e non condannare pesantemente perchè così si rivinano per sempre ed è la società che paga conseguenze",CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,secondo me la persona che ripete lo stesso reato è abituata a passare la vita in carcere,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,è una persona ci ha pensato due volte su prima di compiere quel reato,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona o che è stata a sbagliare,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,normale,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,disperata,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"non commento, e molto difficile",NON RISPOSTA,NON RISPOSTA
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,che non è bene,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"normale dal punto di vista mentale,",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,cosciente dei rischi che corre ma obbligata ad assumere questi rischi,CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non sono in grado di fare commenti su altre persone,NON RISPOSTA,NON RISPOSTA
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo la persona lo stesso reato anche a me non ha speranza nella sua vita o lui ha scelto la sua strada,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona preso troppa condanna,COMMENTO,OPINIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,la scelta sbagliata,sancire,OPINIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sbagliato perché ho sbagliato anche io,VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non deve fare queste cose,PRESCRIZIONE,PRESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,uno scemo,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,colpa della scelta,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,per me è stata una condanna gravosa perché hachich roba legava,COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ha fatto reato,DESCRIZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sono detenuti come me,DESCRIZIONE,DESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"dipende se è prima volta o seconda volta non gli fregano niente, quando uno ha la famiglia qua si fa aiutare",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,è stato sbagliato o forse non ha trovato un appoggio nella vita,POSSIBILITÀ,POSSIBILITÀ
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,compagno,GIUDIZIO,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"dipende dall'avvocato, dal giudice dalle indagini, dalla polizia dello stato, e dalla fortuna",GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona come me,OPINIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"lo descrivo una persona non fortunata, gli manca esperienza nella vita",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"se avessi avuto la possibilità di conoscerlo gli avrei detto che hai sbagliato perché la vita è bella, breve e dobbiamo vivere liberi l'importante, da quello che ho capito, è che la prigione ti insegna il giusto della vita",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"giuro che sono vittima, sono qui a pagare per mio fratello perché egli è scappato in marocco, lavoravo nell'edilizia e quando sono tornato dal lavoro sono stato condannato a 5 anni e 4 mesi",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,lo descrivo in una sola perola è costretto dalle circostanze,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,descrivo una persona lo stesso reato imputato anche a me che ha sbagliato e ha superato i limiti legislativi,DESCRIZIONE,DESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,sfortunato,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non posso dare nessun giudizio perché vorrebbe dire giudicare me stesso,NON RISPOSTA,NON RISPOSTA
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"la condanna è uguale per tutti però gli italiani escono dal carcere prima senza dover scontare tutta la pena invece noi stranieri la scontiamo tutta, il lavoro è disponibile solo agli italiani",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"io lo descriverei come uguale a me, ma sfortunatamente in realtà non è così perchè i detenuti italiani escono con permessi, le viene data la possibilità di lavorare. invece noi stranieri ci troviamo in una situazione diversa",VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,io sono vittima del reato per il quale sono stato condannato. Mi sono difeso da altre persone perciò spero che grazie a voi non succeda ad altri,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non potrei descriverla perché questo vorrebbe dire giudicare me stesso,NON RISPOSTA,NON RISPOSTA
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ha agito male contro un uomo della terra,GIUDIZIO,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona come me non ha saputo usare la testa,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,come una persona disperata,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,che ha dovuto commettere un reato per sopravvivere,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"se la persona è da sola e non ha una famiglia, penso che ha preso la strada sbagliata",VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,credo che mi sento più male io che lui,CONTRAPPOSIZIONE,CONTRAPPOSIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,gli darei una pena minore perché nel mio caso è stata compiuta ingiustizia da parte delle forza dell'ordine che hanno prodotto false prove alle quali il tribunale ha creduto,GENERALIZZAZIONE,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,ha ragione,sancire,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"una persona, dove indossiamo la stessa personalità e siamo nella stessa barca",GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,quella persona di sicuro avrà bisogno di soldi come ne ho avuto bisogno io.,sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,Di solito sono anche le famiglie a spingerci a fare queste cose,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,commettere un qualsiasi reato non proviene dalla personalità ma da cosa l'ha spinta a farlo e spesso è la povertà non ho pregiudizi,CAUSA,GENERALIZZAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"descrivo per la necessità, magari la responsabilità di portare avanti una famiglia e che con un lavoro onesto tante volte una persona ce la fa",GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,la descrivo come una persona bisognosa,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e che magari ha dei figli da mantenere,POSSIBILITÀ,POSSIBILITÀ
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"per bisogno, come ho",GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"costretto, perché la legge è tanto lenta",VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"io non vendevo e non spacciavo droga, la portavo soltanto da un posto all'altro. Non vi posso dire altro perché la pensiamo in modo diverso",COMMENTO,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"e una persona, una persona ha sbagliato in quello che ha fatto",sancire,sancire
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,e che fatto questo dalla povertà,GIUSTIFICAZIONE,GIUSTIFICAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"se c'è qualche infrazione come mia mi dispiacerebbe tanto, perché sarà una persona innocente",VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,fortunato,GIUDIZIO,GIUDIZIO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,non ha fortuna perché mai ho fatto male a nessuno,VALUTAZIONE,VALUTAZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,una persona per la necessità di lavorare è stata costretta a scegliere quella opportunità che le hanno dato con la promessa di guadagnare qualche dollaro in più per poter sopravvivere,DERESPONSABILIZZAZIONE,DESCRIZIONE
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"""uno sballo"", mancanza opportunità!",CAUSA,COMMENTO
Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,DESCRIZIONE,"ha commesso, come me",GENERALIZZAZIONE,GENERALIZZAZIONE
