,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCI SENIOR,DENOMINAZIONE
4776,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ servono per il mio futuro e quello
della mia famiglia
",,GENERALIZZAZIONE
4777,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_sono in_carcere da 4 anni e
non_ho_mai avuto contatti con le persone
che pi— dovrebbero
seguire i trattt_rieducativi come lo
psicologo , l' educatrice , l' assistente
sociale
",,DERESPONSABILIZZAZIONE
4778,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ finora non_ho_avuto nessun_tipo .
voglio comunicare con la mia famiglia e non
posso
",,GENERALIZZAZIONE
4779,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","ci sono agente che tratttano male i
detenuti
",,COMMENTO
4780,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","noi siamo qua per diversi reati per• anche
perch‚ fuori non c' Š lavoro e quindi Š
molto difficile
",,COMMENTO
4781,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",dipende dalla persona,,DESCRIZIONE
4782,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","per segnarsi la matricola ci_vuole
una_settimana
per medicine da provvedere con la sanit…
",,COMMENTO
4783,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_il trattt_rieducativo ha avuto un
buon effetto su di me .
",,DESCRIZIONE
4784,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","sono_molto per_motivi semplicissimi ha
possibilit… di vivere_una_vita normalissima
ed Š
l' unico desiderio che posso avere
",,GIUDIZIO
4785,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",perch‚_non_ci_sono,,NON RISPOSTA
4786,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","non_posso_rispondere a_questa_domanda
perch‚_non_ho avuto questa_opportunit…
",,GIUSTIFICAZIONE
4787,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","gli educatori non intervengono , i
collaboratori che spiano gli altri_detenuti
ricevono dei premi , ad
esempio la persona_che_non si immischia
negli affari degli altri non pu• ottenere
il "" permesso
premio ""
",,NON RISPOSTA
4788,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","nn_sn_molto_efficaci perch‚ siamo stranieri
e nessuno ci prende sul_serio .
",,GIUSTIFICAZIONE
4789,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_le_persone autorizate non_si danno
da fare per reeducare i detinuti
",,DERESPONSABILIZZAZIONE
4790,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","la prima cosa non sento la necesita di
tratt_rieducativo . perch‚_non_si fa , e
perch‚ io sono una
persona abastanza aducata aua mia_et…
",,GIUDIZIO
4791,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_le_persone che devono partecipare
per il tratt_rieducativo sono assente e non
partecipano
",,GIUDIZIO
4792,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",mai mi_hanno_aiutato,,DESCRIZIONE
4793,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_qui siamo considerati come ci• che
siamo "" detenuti "" . non ci danno l'opportunit… di fare
niente , non_esiste un' educatrice sociale
, facciamo sempre domandine per tutto e non
ci chiamano
mai

",,SANCIRE LA REALTÀ
4794,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","gli stranieri 1% di_opportunit… , gli
italiani tante opportunit… 99%
",,DESCRIZIONE
4795,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","le ho definite poco_efficaci ci danno l'
opportunit… di inserimento nella societ… ,
dobbiamo soltanto scontare la
",,RIDIMENSIONAMENTO
4796,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","per_il_fatto_che esiste poco_personale di
appoggio per cos� tanti detenuti
",,DESCRIZIONE
4797,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ avendo queste_possibilit… in_carcere
una_persona pu• riflettere sui suoi errori
quotidiani per
cos� migliorare la sua vita sociale e non
ricommettere gli stessi delitti di_modo_che
, una_volta
compiuta la condanna , sia in_grado_di
tornare ad_avere_una_vita sociale

",,DICHIARAZIONE DI INTENTI
4798,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",servono_per_rieducare,,RIFERIMENTO ALL'OBIETTIVO
4799,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",servono_per_rieducare,,RIFERIMENTO ALL'OBIETTIVO
4800,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",servono_per_rieducare,,RIFERIMENTO ALL'OBIETTIVO
4801,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",non_saprei,,GIUSTIFICAZIONE
4802,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ in tutte le istituzioni Š troppo
importante il comportamento del_detenuto
",,COMMENTO
4803,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",forse ti_fa_ripensare,,POSSIBILITÀ
4804,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","sono_poco_efficaci le cose dentro_al
carcere_non funzionano come devono
",,COMMENTO
4805,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","non ti chiama mai nessuno anche_se chiedi
di_parlare
",,COMMENTO
4806,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",fare il carcere_ti fa ripensare,,COMMENTO
4807,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","sono convinta che sia_molto efficacie
rieducarsi in_carcere forse Š l' unico modo
per_far capire agli
altri che non Š mai tardi per ricominciare
a vivere e dare un esempio agli altri a non
fare gli stessi
errori
",,DICHIARAZIONE DI INTENTI
4808,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",perch‚_non_ho i miei diritti,,GENERALIZZAZIONE
4809,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",perch‚ Š tutta un' attesa ! !,,DESCRIZIONE
4810,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ hai bisogno di opportunit… che
qui_non danno , ci_sono_poche
",,DERESPONSABILIZZAZIONE
4811,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","abbastanza_efficaci a me_sono serviti
per_imparare a convivere con persone
sconosciute ,
anche per conoscere dal_vivo le esperienze
della vita
",,RIFERIMENTO ALL'OBIETTIVO
4812,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","potrebbero essere molto_efficaci , ma ho
segnato efficaci perch‚ , in_teoria
funziona , in_pratica devi
lottare per ottenere quello che guadagni
",,CONTRAPPOSIZIONE
4813,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",perch‚_sono straniera,,GIUSTIFICAZIONE
4814,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ qua non hai diritto a_niente_perch‚
sei straniera . tutti ti parlano male
nessun agente Š educato .
",,DESCRIZIONE
4815,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","non sei aiutata da nessuno perch‚ straniera
. vogliono solo liberarsi di te in_quanto_
rappresenti un
pericolo .
",,COMMENTO
4816,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","dal_mio_punto_di_vista Š che siamo
stranieri
",,GIUSTIFICAZIONE
4817,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","secondo_me non serve a_niente_perch‚ siamo
straniere .
",,GIUSTIFICAZIONE
4818,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","se davvero esistesse un trattt migliore allora non esisterebbe e non sarebbe
favorizzato l'
omosessualit… .
",,RIDIMENSIONAMENTO
4819,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","efficace per allontanare la persona dagli
errori
",,GENERALIZZAZIONE
4820,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","un punto fondamentale del carcere Š di
mettere nella strada_giusta
",,COMMENTO
4821,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",perch‚_ci_sono_poche opportunit…,,DESCRIZIONE
4822,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_ci_sono_poche possibilit… per
una_persona che Š in_carcere
",,DESCRIZIONE
4823,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",non sono stato ben trattato,,COMMENTO
4824,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ la magior parte dei nei detenuti
pensano che i detenuti sono poco educati ,
e un_sbaglio 100%
",,GENERALIZZAZIONE
4825,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","siccome la percentuale delle persone
cambiate Š piccola , si pu• dire_che la
persona non cambia
facilmente le proprie abitudini .
",,COMMENTO
4826,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚ la persona detenuta lavorando
dimentica che e in delirio , e anche e
pagata per mantenersi
",,VALUTAZIONE
4827,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","un detenuto avendo un' attivit… si_sente
meglio pu• fare quello che faceva prima_di
essere arrestato
",,VALUTAZIONE
4828,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_la_rieducaz Š un modo per rieducare
la persona
",,GENERALIZZAZIONE
4829,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","poco_efficace_perch‚ gli addetti mancano e
diventa penoso trovare una possibilit… e
penoso anche
per gli addetti di_questa nobile attivit…
",,GIUDIZIO
4830,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",per reinserirci nella societ…,,RIFERIMENTO ALL'OBIETTIVO
4831,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",gli assistenti troppo assenti,,DESCRIZIONE
4832,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","la mia_scelta quando faccio una bella cosa
per_me stesso e cos� io mi sento bene per
le altre
",,NON RISPOSTA
4833,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?",non_esiste perch‚_ho scelto questa_risposta,,NON RISPOSTA
4834,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","quando uno viene condannato per un reato
che non ha commesso non ha
bisogno_di_essere
rieducato , allora il tratt_rieducativo ha
l' effetto contrario
",,GENERALIZZAZIONE
4835,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","il carcere r . coeli Š un edificio antico e
deve_essere chiuso , le persone normali
come me ci passano
dei momenti molto difficili
",,COMMENTO
4836,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","io prima_di arrestarmi non andavo a_scuola
quando sono entratto in_questa scuola del
carcere ho imparato tante_cose che prima non_sapevo
",,GENERALIZZAZIONE
4837,"Se la risposta data alla domanda precedente è per nulla efficaci/poco efficaci o efficaci/molto efficaci, ci potrebbe indicare le ragioni della sua scelta?","perch‚_questo_posto_ti_fa_conoscere la
bassezza di questo mondo ,
perch‚_se_una_persona_rimane in
questo_posto per un po'
di_tempo_sviluppa_la_sua_tendenza
alla_criminalit…_e_diventa_un_antisociale
in
pi— .
",,PREVISIONE
4838,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,popolazione detenuta tutto uguale ,,DESCRIZIONE
4839,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,no,,NON RISPOSTA
4840,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non mi permetto nulla a pensare perché ho girato tanti istituti ,,GIUSTIFICAZIONE
4841,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,la presenza degli italiani e degli stranieri nella stessa cella ,,DESCRIZIONE
4842,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"per trasferirmi, non penso a questo ",,SANCIRE LA REALTÀ
4843,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,no,,NON RISPOSTA
4844,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,il modo in cui i detenuti comunicano tra di loro ,,DESCRIZIONE
4845,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,dal comportamento ,,GENERALIZZAZIONE
4846,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non so ,,GIUSTIFICAZIONE
4847,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,che ci sono detenuti e detenuti c' è chi aiuta e chi no ,,COMMENTO
4848,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,magari si realizzasse ,,COMMENTO
4849,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,la persona per integrarsi con i giorni quando è un detenuto nuovo,,NON RISPOSTA
4850,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,niente da descrivere ,,SANCIRE LA REALTÀ
4851,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"non c'è integrazione perché la maggioranza dei detenuti è araba e neanche tra di loro vanno d'accordo, inoltre li mettono insieme a noi; io non sono razzista, ma la loro cultura è diversa, così come le loro abitudini ed educazione",,GIUSTIFICAZIONE
4852,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,che sarà ancora peggio ,,PREVISIONE
4853,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,il tipo di comportamento reciproco ,,DESCRIZIONE
4854,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"no, non esistendo i diritti della persona qui in italia ",,NON RISPOSTA
4855,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"è una domanda molto complessa, ma credo che l' attività sportiva mi porterebbe ad avere una opinione di tale rilevanza",,OPINIONE
4856,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,molto male ,,NON RISPOSTA
4857,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non so rispondere ma la pena è la pena ,,GIUSTIFICAZIONE
4858,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"in carcere sono tutti uguali, non si fa caso alla nazionalità ",,GENERALIZZAZIONE
4859,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non so ,,GIUSTIFICAZIONE
4860,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,è di restare nel carcere di modena perché mi trovo bene e sono lontano dai problemi ,,NON RISPOSTA
4861,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,no,,NON RISPOSTA
4862,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"la cosa che odio è essere trasferito in un'altra prigione, la cosa che sentirò è che sono nuovo",,COMMENTO
4863,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,la mia famiglia in particolare mia mamma che non la vedo da 8 anni,,COMMENTO
4864,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,poco,,NON RISPOSTA
4865,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non penso non sono mai stato trasferito un'altra prigione ,,GIUSTIFICAZIONE
4866,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non penso e non sono mai stata trasferita in un' altra prigione ,,COMMENTO
4867,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,mi ricordo tutto ,,NON RISPOSTA
4868,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,la mancanza di conoscere bene la legge del nuovo posto e gli amici,,DESCRIZIONE
4869,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,restare nel carcere di modena perché sono vicino a mia moglie e a mio figlio,,COMMENTO
4870,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,l' integrazione sportiva e culturale è tutto ciò che mi fa pensare ,,DESCRIZIONE
4871,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,non so,,GIUSTIFICAZIONE
4872,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,il contrario di quello scritto ,,NON RISPOSTA
4873,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,che si trattino bene ,,DESCRIZIONE
4874,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,l' immediata amicizia ,,DESCRIZIONE
4875,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,mi trattano bene,,GENERALIZZAZIONE
4876,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"giocare calcio, a dama, a scacchi socializzare con i detenuti ",,DESCRIZIONE
4877,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,perché hanno imparato a convivere anche se ci sono dei problemi ,,DESCRIZIONE
4878,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,per passare meglio il tempo ,,NON RISPOSTA
4879,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"dipende dalla sede del carcere, se ci mandano nel nostro paese sarà molto più difficile. ",,NON RISPOSTA
4880,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,,,NON RISPOSTA
4881,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,parlare e confidarsi ,,GENERALIZZAZIONE
4882,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,"poco efficaci 
efficacia del programma ",,NON RISPOSTA
4883,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,,,DESCRIZIONE
4884,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,per essere insieme ,,NON RISPOSTA
4885,Immagini di essere stato trasferito in un nuovo Istituto di pena. Dopo alcuni giorni dal suo arrivo pensa: “la popolazione detenuta italiana e straniera di questo Istituto è integrata”. Che cosa le permette di pensarlo?,l' amicizia fra loro ,,DESCRIZIONE
