,TESTO DELLA DOMANDA,TESTO,DIVISIONE STRALCIO JUNIOR,DENOMINAZIONE
3323,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,se l'imputato l'ha fatto come un primo reato può essere uno sbaglio e purtroppo tutti possiamo sbagliare se l'ha fatto parecchie volte merita la giustizia,se l'imputato l'ha fatto come un primo reato può essere uno sbaglio e purtroppo tutti possiamo sbagliare se l'ha fatto parecchie volte merita la giustizia,GENERALIZZAZIONE
3324,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,per me questo reato che ho commesso a mio paese non hanno il diritto di arrestarlo perché ho tutte le documentazioni e le prove che io non centro niente anche il fratello della vittima mi ha fatto una dichiarazione al consolato tunisia che io sono innocente ma ormai sono definitivo il mio avvocato non può fare niente,per me questo reato che ho commesso a mio paese non hanno il diritto di arrestarlo perché ho tutte le documentazioni e le prove che io non centro niente anche il fratello della vittima mi ha fatto una dichiarazione al consolato tunisia che io sono innocente ma ormai sono definitivo il mio avvocato non può fare niente,GENERALIZZAZIONE
3325,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,faccio autocritica; non giudico gli altri; comunque è dalla parte sbagliata,faccio autocritica; non giudico gli altri;,COMMENTO
3326,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,comunque è dalla parte sbagliata,GIUDIZIO
3327,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"è una persona soffrei di tanti problemi, inoltre non è completa mentalmente","è una persona soffrei di tanti problemi, inoltre non è completa mentalmente",SANCIRE LA REALTÀ
3328,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"il reato che mi è stato imputato, descrivo l'altra persona che è povero perché non nessun reato ma sono stato condannato perché ero vicino al luogo dell'accaduto","il reato che mi è stato imputato, descrivo l'altra persona che è povero",GIUDIZIO
3329,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,perché non nessun reato ma sono stato condannato perché ero vicino al luogo dell'accaduto,COMMENTO
3330,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"non so cosa dire perché il detenuto è come l'uccello in gabbia, non sa niente, sa solo cantare","non so cosa dire perché il detenuto è come l'uccello in gabbia, non sa niente, sa solo cantare",COMMENTO
3331,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,non so scusate per la domanda perché sono detenuto come un uccello in gabbia,non so scusate per la domanda perché sono detenuto come un uccello in gabbia,COMMENTO
3332,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"non so in questa domanda sono detenuto, sono come un uccello in una gabbia, non batte le ali e canta da solo","non so in questa domanda sono detenuto, sono come un uccello in una gabbia, non batte le ali e canta da solo",COMMENTO
3333,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,il reato per il quale sono detenuta descrivo l'altra persona povera perché non questo reato e sono stata condannata,il reato per il quale sono detenuta descrivo l'altra persona povera perché non questo reato e sono stata condannata,VALUTAZIONE
3334,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,nella mia salute sto bene,nella mia salute sto bene,COMMENTO
3335,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"ritengo giusto che, se qualcuno ha fornito nome, cognome e data di nascita fasulli debba essere imprigionato perché non è bello che qualcuno dia i nomi falsi
secondo me non è giusto che una persona da falsità di cognomi paghi per una persona fatto niente","ritengo giusto che, se qualcuno ha fornito nome, cognome e data di nascita fasulli debba essere imprigionato perché non è bello che qualcuno dia i nomi falsi",GENERALIZZAZIONE
3336,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,secondo me non è giusto che una persona da falsità di cognomi paghi per una persona fatto niente,GENERALIZZAZIONE
3337,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,direi di non mai,direi di non mai,COMMENTO
3338,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una ladra,una ladra,GIUDIZIO
3339,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"un adulto che ha fatto per la ragazza per cui ha falsificato documenti, ha avuto una denuncia false","un adulto che ha fatto per la ragazza per cui ha falsificato documenti, ha avuto una denuncia false",DESCRIZIONE
3340,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"una persona troppo brava e un'altra gli è andata contro e non la capisce e quindi per forza questa persona deve sfogarsi, va fuori di testa e può ucciderlo. Una persona perso la pazienza perché non è capita.","una persona troppo brava e un'altra gli è andata contro e non la capisce e quindi per forza questa persona deve sfogarsi, va fuori di testa e può ucciderlo.",GIUSTIFICAZIONE
3341,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,Una persona perso la pazienza perché non è capita.,VALUTAZIONE
3342,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"una persona rubato un portafoglio, ha trovato un po' di soldi, documenti","una persona rubato un portafoglio, ha trovato un po' di soldi, documenti",DESCRIZIONE
3343,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,che prima di commettere un reato deve pensare alle conseguenze,che prima di commettere un reato deve pensare alle conseguenze,COMMENTO
3344,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,ha fatto male. È una persona deve cambiare attegiamento quando esce,ha fatto male.,SANCIRE LA REALTÀ
3345,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,È una persona deve cambiare attegiamento quando esce,PRESCRIZIONE
3346,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"per quanto riguarda me è una persona merita (tutto) e uno che non ha coscienza pulita forse, per fare un reato del genere non ci saranno i motivi
per niente al mondo con passato può rieducare o odiare quello che ha commesso.","per quanto riguarda me è una persona merita (tutto) e uno che non ha coscienza pulita forse, per fare un reato del genere non ci saranno i motivi",GIUDIZIO
3347,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,per niente al mondo con passato può rieducare o odiare quello che ha commesso.,SANCIRE LA REALTÀ
3348,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"io non, ma mi hanno ingiustamente perché sono albanese! Io nella mia ho sempre lavorato onestamente, ma qui in italia non basta perché ci sono i pregiudizi per noi albanesi. Io le persone che hanno reati come questo che mi hanno li giudico male, però non abbandonare e non condannare pesantemente perchè così si rivinano per sempre ed è la società che paga conseguenze","io non, ma mi hanno ingiustamente perché sono albanese! Io nella mia ho sempre lavorato onestamente, ma qui in italia non basta perché ci sono i pregiudizi per noi albanesi.",COMMENTO
3349,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,"Io le persone che hanno reati come questo che mi hanno li giudico male, però non abbandonare e non condannare pesantemente perchè così si rivinano per sempre ed è la società che paga conseguenze",CONTRAPPOSIZIONE
3350,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,secondo me la persona che ripete lo stesso reato è abituata a passare la vita in carcere,secondo me la persona che ripete lo stesso reato è abituata a passare la vita in carcere,GENERALIZZAZIONE
3351,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,è una persona ci ha pensato due volte su prima di compiere quel reato,è una persona ci ha pensato due volte su prima di compiere quel reato,SANCIRE LA REALTÀ
3352,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona o che è stata a sbagliare,una persona o che è stata a sbagliare,SANCIRE LA REALTÀ
3353,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona,una persona,GENERALIZZAZIONE
3354,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,normale,normale,GIUDIZIO
3355,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,disperata,disperata,GIUDIZIO
3356,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"non commento, e molto difficile","non commento, e molto difficile",NON RISPOSTA
3357,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,che non è bene,che non è bene,SANCIRE LA REALTÀ
3358,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"normale dal punto di vista mentale, cosciente dei rischi che corre ma obbligata ad assumere questi rischi","normale dal punto di vista mentale,",GIUDIZIO
3359,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,cosciente dei rischi che corre ma obbligata ad assumere questi rischi,CONTRAPPOSIZIONE
3360,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona,una persona,GENERALIZZAZIONE
3361,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,non sono in grado di fare commenti su altre persone,non sono in grado di fare commenti su altre persone,NON RISPOSTA
3362,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,descrivo la persona lo stesso reato anche a me non ha speranza nella sua vita o lui ha scelto la sua strada,descrivo la persona lo stesso reato anche a me non ha speranza nella sua vita o lui ha scelto la sua strada,SANCIRE LA REALTÀ
3363,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona preso troppa condanna,una persona preso troppa condanna,OPINIONE
3364,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,la scelta sbagliata,la scelta sbagliata,OPINIONE
3365,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"sbagliato perché ho sbagliato anche io 
non deve fare queste cose",sbagliato perché ho sbagliato anche io,VALUTAZIONE
3366,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,non deve fare queste cose,PRESCRIZIONE
3367,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,uno scemo,uno scemo,GIUDIZIO
3368,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,colpa della scelta,colpa della scelta,GIUSTIFICAZIONE
3369,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,per me è stata una condanna gravosa perché hachich roba legava,per me è stata una condanna gravosa perché hachich roba legava,COMMENTO
3370,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,ha fatto reato,ha fatto reato,GENERALIZZAZIONE
3371,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,sono detenuti come me,sono detenuti come me,DESCRIZIONE
3372,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"dipende se è prima volta o seconda volta non gli fregano niente, quando uno ha la famiglia qua si fa aiutare","dipende se è prima volta o seconda volta non gli fregano niente, quando uno ha la famiglia qua si fa aiutare",GENERALIZZAZIONE
3373,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,è stato sbagliato o forse non ha trovato un appoggio nella vita,è stato sbagliato o forse non ha trovato un appoggio nella vita,POSSIBILITÀ
3374,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,compagno,compagno,GENERALIZZAZIONE
3375,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"dipende dall'avvocato, dal giudice dalle indagini, dalla polizia dello stato, e dalla fortuna","dipende dall'avvocato, dal giudice dalle indagini, dalla polizia dello stato, e dalla fortuna",GENERALIZZAZIONE
3376,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona come me,una persona come me,GENERALIZZAZIONE
3377,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"lo descrivo una persona non fortunata, gli manca esperienza nella vita 
se avessi avuto la possibilità di conoscerlo gli avrei detto che hai sbagliato perché la vita è bella, breve e dobbiamo vivere liberi l'importante, da quello che ho capito, è che la prigione ti insegna il giusto della vita","lo descrivo una persona non fortunata, gli manca esperienza nella vita",GIUDIZIO
3378,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,"se avessi avuto la possibilità di conoscerlo gli avrei detto che hai sbagliato perché la vita è bella, breve e dobbiamo vivere liberi l'importante, da quello che ho capito, è che la prigione ti insegna il giusto della vita",COMMENTO
3379,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"giuro che sono vittima, sono qui a pagare per mio fratello perché egli è scappato in marocco, lavoravo nell'edilizia e quando sono tornato dal lavoro sono stato condannato a 5 anni e 4 mesi","giuro che sono vittima, sono qui a pagare per mio fratello perché egli è scappato in marocco, lavoravo nell'edilizia e quando sono tornato dal lavoro sono stato condannato a 5 anni e 4 mesi",COMMENTO
3380,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,lo descrivo in una sola perola è costretto dalle circostanze,lo descrivo in una sola perola è costretto dalle circostanze,GIUSTIFICAZIONE
3381,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,descrivo una persona lo stesso reato imputato anche a me che ha sbagliato e ha superato i limiti legislativi,descrivo una persona lo stesso reato imputato anche a me che ha sbagliato e ha superato i limiti legislativi,DESCRIZIONE
3382,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,sfortunato,sfortunato,GIUDIZIO
3383,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,non posso dare nessun giudizio perché vorrebbe dire giudicare me stesso,non posso dare nessun giudizio perché vorrebbe dire giudicare me stesso,NON RISPOSTA
3384,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"la condanna è uguale per tutti però gli italiani escono dal carcere prima senza dover scontare tutta la pena invece noi stranieri la scontiamo tutta, il lavoro è disponibile solo agli italiani","la condanna è uguale per tutti però gli italiani escono dal carcere prima senza dover scontare tutta la pena invece noi stranieri la scontiamo tutta, il lavoro è disponibile solo agli italiani",COMMENTO
3385,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"io lo descriverei come uguale a me, ma sfortunatamente in realtà non è così perchè i detenuti italiani escono con permessi, le viene data la possibilità di lavorare. invece noi stranieri ci troviamo in una situazione diversa","io lo descriverei come uguale a me, ma sfortunatamente in realtà non è così perchè i detenuti italiani escono con permessi, le viene data la possibilità di lavorare. invece noi stranieri ci troviamo in una situazione diversa",VALUTAZIONE
3386,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,io sono vittima del reato per il quale sono stato condannato. Mi sono difeso da altre persone perciò spero che grazie a voi non succeda ad altri,io sono vittima del reato per il quale sono stato condannato. Mi sono difeso da altre persone perciò spero che grazie a voi non succeda ad altri,GENERALIZZAZIONE
3387,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,non potrei descriverla perché questo vorrebbe dire giudicare me stesso,non potrei descriverla perché questo vorrebbe dire giudicare me stesso,NON RISPOSTA
3388,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,ha agito male contro un uomo della terra,ha agito male contro un uomo della terra,SANCIRE LA REALTÀ
3389,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona come me non ha saputo usare la testa,una persona come me non ha saputo usare la testa,GIUDIZIO
3390,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,come una persona disperata che ha dovuto commettere un reato per sopravvivere,come una persona disperata,GIUDIZIO
3391,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,che ha dovuto commettere un reato per sopravvivere,GIUSTIFICAZIONE
3392,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"se la persona è da sola e non ha una famiglia, penso che ha preso la strada sbagliata","se la persona è da sola e non ha una famiglia, penso che ha preso la strada sbagliata",VALUTAZIONE
3393,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,credo che mi sento più male io che lui,credo che mi sento più male io che lui,CONTRAPPOSIZIONE
3394,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,gli darei una pena minore perché nel mio caso è stata compiuta ingiustizia da parte delle forza dell'ordine che hanno prodotto false prove alle quali il tribunale ha creduto,gli darei una pena minore perché nel mio caso è stata compiuta ingiustizia da parte delle forza dell'ordine che hanno prodotto false prove alle quali il tribunale ha creduto,GENERALIZZAZIONE
3395,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,ha ragione,ha ragione,COMMENTO
3396,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"una persona, dove indossiamo la stessa personalità e siamo nella stessa barca","una persona, dove indossiamo la stessa personalità e siamo nella stessa barca",GIUDIZIO
3397,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,quella persona di sicuro avrà bisogno di soldi come ne ho avuto bisogno io. Di solito sono anche le famiglie a spingerci a fare queste cose,quella persona di sicuro avrà bisogno di soldi come ne ho avuto bisogno io.,SANCIRE LA REALTÀ
3398,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,Di solito sono anche le famiglie a spingerci a fare queste cose,GIUSTIFICAZIONE
3399,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,commettere un qualsiasi reato non proviene dalla personalità ma da cosa l'ha spinta a farlo e spesso è la povertà non ho pregiudizi,commettere un qualsiasi reato non proviene dalla personalità ma da cosa l'ha spinta a farlo e spesso è la povertà non ho pregiudizi,GENERALIZZAZIONE
3400,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"descrivo per la necessità, magari la responsabilità di portare avanti una famiglia e che con un lavoro onesto tante volte una persona ce la fa","descrivo per la necessità, magari la responsabilità di portare avanti una famiglia e che con un lavoro onesto tante volte una persona ce la fa",GIUSTIFICAZIONE
3401,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,la descrivo come una persona bisognosa e che magari ha dei figli da mantenere,la descrivo come una persona bisognosa,GIUDIZIO
3402,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,e che magari ha dei figli da mantenere,POSSIBILITÀ
3403,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"per bisogno, come ho","per bisogno, come ho",GIUSTIFICAZIONE
3404,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"costretto, perché la legge è tanto lenta","costretto, perché la legge è tanto lenta",VALUTAZIONE
3405,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"io non vendevo e non spacciavo droga, la portavo soltanto da un posto all'altro. Non vi posso dire altro perché la pensiamo in modo diverso","io non vendevo e non spacciavo droga, la portavo soltanto da un posto all'altro. Non vi posso dire altro perché la pensiamo in modo diverso",COMMENTO
3406,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"e una persona, una persona ha sbagliato in quello che ha fatto e che fatto questo dalla povertà","e una persona, una persona ha sbagliato in quello che ha fatto",SANCIRE LA REALTÀ
3407,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,e che fatto questo dalla povertà,GIUSTIFICAZIONE
3408,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"se c'è qualche infrazione come mia mi dispiacerebbe tanto, perché sarà una persona innocente","se c'è qualche infrazione come mia mi dispiacerebbe tanto, perché sarà una persona innocente",VALUTAZIONE
3409,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,fortunato,fortunato,GIUDIZIO
3410,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,non ha fortuna perché mai ho fatto male a nessuno,non ha fortuna perché mai ho fatto male a nessuno,VALUTAZIONE
3411,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona per la necessità di lavorare è stata costretta a scegliere quella opportunità che le hanno dato con la promessa di guadagnare qualche dollaro in più per poter sopravvivere,una persona per la necessità di lavorare è stata costretta a scegliere quella opportunità che le hanno dato con la promessa di guadagnare qualche dollaro in più per poter sopravvivere,DESCRIZIONE
3412,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"""uno sballo"", mancanza opportunità!","""uno sballo"", mancanza opportunità!",COMMENTO
3413,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"ha commesso, come me","ha commesso, come me",GENERALIZZAZIONE
3414,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona malata di avarizia e che ha fatto un errore,una persona malata di avarizia,GIUDIZIO
3415,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,e che ha fatto un errore,DESCRIZIONE
3416,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,un idiota,un idiota,GIUDIZIO
3417,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,l'esenzione per lui come l'esenzione per me,l'esenzione per lui come l'esenzione per me,COMMENTO
3418,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,l'esenzione per lui come l'esenzione come per me,l'esenzione per lui come l'esenzione come per me,COMMENTO
3419,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,l'esenzione per lui come l'esenzione per me,l'esenzione per lui come l'esenzione per me,COMMENTO
3420,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona sbaglia due volte non è una persona. si può sbagliare solo una volta,una persona sbaglia due volte non è una persona. si può sbagliare solo una volta,SANCIRE LA REALTÀ
3421,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,posso dire che è sbagliato,posso dire che è sbagliato,GIUDIZIO
3422,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,lo descrivo che è stato a cercare una vita migliore,lo descrivo che è stato a cercare una vita migliore,GIUSTIFICAZIONE
3423,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona che non sa a cosa va incontro,una persona che non sa a cosa va incontro,SANCIRE LA REALTÀ
3424,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,per quale reato sono accusato io non va bene ma per quale ho fatto è un bisogno di mangiare,per quale reato sono accusato io non va bene ma per quale ho fatto è un bisogno di mangiare,GENERALIZZAZIONE
3425,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,è costretto per la vita che fa,è costretto per la vita che fa,SANCIRE LA REALTÀ
3426,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"la persona che sbaglia due volte non è normale, io come individuo sto scontando una pena che non me la merito per un errore della corte","la persona che sbaglia due volte non è normale,",GIUDIZIO
3427,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,io come individuo sto scontando una pena che non me la merito per un errore della corte,COMMENTO
3428,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"non lo so, ma penso che sbagliando una seconda volta sarei stupido e senza cervello","non lo so, ma penso che sbagliando una seconda volta sarei stupido e senza cervello",GENERALIZZAZIONE
3429,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,lo descriverei semplicemente dicendo che se lei o lui non ha né più né meno di me di condanna allora direi che la legge è uguale ma se la persona che ho davanti mi fa capire che quello che abbiamo fatto è sbagliato sarebbe molto meglio,lo descriverei semplicemente dicendo che se lei o lui non ha né più né meno di me di condanna allora direi che la legge è uguale ma se la persona che ho davanti mi fa capire che quello che abbiamo fatto è sbagliato sarebbe molto meglio,GENERALIZZAZIONE
3430,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,mi sentirei triste e mi dispiace,mi sentirei triste e mi dispiace,OPINIONE
3431,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,che mi dispiace ma che poi se ne pentirà,che mi dispiace,OPINIONE
3432,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,ma che poi se ne pentirà,SANCIRE LA REALTÀ
3433,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona sicuramente aveva bisogno perché perché solo per questa ragione si fanno cose del genere,una persona sicuramente aveva bisogno perché perché solo per questa ragione si fanno cose del genere,VALUTAZIONE
3434,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"dipende, esistono diversi motivi, farlo volontariamente, o innocentemente, anche se necessariamente, come nel mio caso, la considero stupida","dipende, esistono diversi motivi, farlo volontariamente, o innocentemente,",GENERALIZZAZIONE
3435,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,"anche se necessariamente, come nel mio caso, la considero stupida",GIUDIZIO
3436,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"mi dispiace che sia qui per il mio stesso reato, ma è una persona ignorante","mi dispiace che sia qui per il mio stesso reato,",OPINIONE
3437,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,ma è una persona ignorante,GIUDIZIO
3438,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,la descriverei come una persona e disperata,la descriverei come una persona e disperata,GIUDIZIO
3439,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"mi dispiace tanto, riesco a capire la sua difficoltà perché anche io la conosco","mi dispiace tanto,",OPINIONE
3440,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,riesco a capire la sua difficoltà perché anche io la conosco,VALUTAZIONE
3441,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"una persona reato penale come il mio lo considero una persona come me, senza nessuna colpa perché la legge italiana non è corretta","una persona reato penale come il mio lo considero una persona come me, senza nessuna colpa perché la legge italiana non è corretta",VALUTAZIONE
3442,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"io non infrazione, la polizia mi ha condannato per la loro reputazione, per salire di grado","io non infrazione, la polizia mi ha condannato per la loro reputazione, per salire di grado",COMMENTO
3443,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,sono persone sbagliato che volevano farti del male sperando di avere qualcosa in cambio,sono persone sbagliato che volevano farti del male sperando di avere qualcosa in cambio,COMMENTO
3444,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,"la prima cosa lo chiederi perché ha fatto cosa, e per che","la prima cosa lo chiederi perché ha fatto cosa, e per che",GENERALIZZAZIONE
3445,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,io non. non è umano giocare con il corpo di altre persone,io non. non è umano giocare con il corpo di altre persone,COMMENTO
3446,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,io non. una persona del corpo di altre persone non so fa scrupoli e quindi dovrebbe essere punito nel modo che li spetta,io non. una persona del corpo di altre persone non so fa scrupoli e quindi dovrebbe essere punito nel modo che li spetta,CAUSA
3447,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,è senza mente - non deve avere la non fiducia nell'altro,è senza mente -,GIUDIZIO
3448,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,,non deve avere la non fiducia nell'altro,SANCIRE LA REALTÀ
3449,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,non deve,non deve,NON RISPOSTA
3450,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,ha torto nei confronti dell'altro,ha torto nei confronti dell'altro,SANCIRE LA REALTÀ
3451,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,una persona,una persona,GENERALIZZAZIONE
3452,Come descriverebbe una persona che ha commesso lo stesso reato che è stato imputato anche a lei?,un pappagallo,un pappagallo,GIUDIZIO
